,index,Status,Inversions,Speed /mph,Height /ft,Drop /ft,Length /ft,G-Force
211,519,0,3.0050420168067227,15.5,11.5,114.6054131054131,196.8,
212,522,1,2.0,51.0,106.0,100.0,2798.0,
213,527,1,3.0050420168067227,38.5,82.0,114.6054131054131,689.0,
214,528,1,3.0050420168067227,22.4,26.3,114.6054131054131,1181.1,
215,537,1,3.0050420168067227,35.0,55.8,114.6054131054131,1476.4,
216,540,1,6.0,58.0,121.0,114.6054131054131,2700.0,
217,542,1,2.0,43.5,85.3,114.6054131054131,1804.5,
218,543,1,3.0050420168067227,36.0,45.9,114.6054131054131,1236.8,
219,544,0,1.0,45.51390243902439,36.1,114.6054131054131,1197.5,
220,551,0,3.0050420168067227,45.51390243902439,45.0,114.6054131054131,800.0,
